number of outliers: 249             
id,time,value
5,2023:07:20 10:54:48,735.8
8,2023:07:20 10:54:48,917.2
8,2023:07:20 10:58:48,949.5
1,2023:07:20 11:02:48,813.5
5,2023:07:20 11:02:48,628.3
6,2023:07:20 11:06:48,777.2
8,2023:07:20 11:06:48,941.4
4,2023:07:20 11:10:48,683.5
8,2023:07:20 11:10:48,842.1
2,2023:07:20 11:14:48,948.7
3,2023:07:20 11:14:48,967.0
8,2023:07:20 11:14:48,681.9
2,2023:07:20 11:18:48,992.7
3,2023:07:20 11:18:48,711.2
5,2023:07:20 11:18:48,891.6
8,2023:07:20 11:18:48,696.2
1,2023:07:20 11:22:48,991.9
7,2023:07:20 11:22:48,980.7
8,2023:07:20 11:22:48,587.0
6,2023:07:20 11:26:48,590.5
7,2023:07:20 11:26:48,866.5
8,2023:07:20 11:26:48,839.8
1,2023:07:20 11:30:48,680.5
3,2023:07:20 11:30:48,950.7
4,2023:07:20 11:30:48,747.5
5,2023:07:20 11:30:48,645.1
6,2023:07:20 11:30:48,623.5
3,2023:07:20 11:34:48,708.0
4,2023:07:20 11:34:48,919.4
5,2023:07:20 11:34:48,663.4
1,2023:07:20 11:38:48,796.3
2,2023:07:20 11:38:48,725.2
4,2023:07:20 11:38:48,902.6
1,2023:07:20 11:42:48,862.5
3,2023:07:20 11:42:48,818.3
5,2023:07:20 11:46:48,810.1
6,2023:07:20 11:46:48,625.5
8,2023:07:20 11:46:48,605.0
1,2023:07:20 11:50:48,971.0
5,2023:07:20 11:50:48,695.6
6,2023:07:20 11:50:48,668.3
1,2023:07:20 11:54:48,845.5
4,2023:07:20 11:54:48,560.4
6,2023:07:20 11:54:48,787.0
7,2023:07:20 11:54:48,793.9
4,2023:07:20 11:58:48,939.3
5,2023:07:20 11:58:48,984.3
2,2023:07:20 12:02:48,732.0
3,2023:07:20 12:02:48,965.9
5,2023:07:20 12:02:48,676.4
7,2023:07:20 12:02:48,591.0
3,2023:07:20 12:06:48,713.4
4,2023:07:20 12:06:48,800.1
5,2023:07:20 12:06:48,767.5
6,2023:07:20 12:06:48,654.2
4,2023:07:20 12:10:48,814.1
6,2023:07:20 12:10:48,626.3
8,2023:07:20 12:10:48,802.0
2,2023:07:20 12:14:48,873.5
3,2023:07:20 12:14:48,937.1
5,2023:07:20 12:14:48,806.6
7,2023:07:20 12:14:48,644.9
2,2023:07:20 12:18:48,785.6
7,2023:07:20 12:18:48,974.3
3,2023:07:20 12:22:48,912.6
2,2023:07:20 12:26:48,713.7
3,2023:07:20 12:26:48,762.1
4,2023:07:20 12:26:48,823.2
5,2023:07:20 12:26:48,941.2
7,2023:07:20 12:26:48,702.2
8,2023:07:20 12:26:48,986.8
1,2023:07:20 12:30:48,752.0
3,2023:07:20 12:30:48,627.5
5,2023:07:20 12:30:48,863.7
7,2023:07:20 12:30:48,740.1
8,2023:07:20 12:30:48,697.6
3,2023:07:20 12:34:48,573.5
4,2023:07:20 12:34:48,804.4
5,2023:07:20 12:34:48,636.1
6,2023:07:20 12:34:48,731.8
8,2023:07:20 12:34:48,967.5
1,2023:07:20 12:38:48,722.3
2,2023:07:20 12:38:48,691.8
6,2023:07:20 12:38:48,635.2
1,2023:07:20 12:42:48,773.2
2,2023:07:20 12:42:48,607.1
3,2023:07:20 12:42:48,794.0
6,2023:07:20 12:42:48,897.5
7,2023:07:20 12:42:48,599.2
8,2023:07:20 12:42:48,984.4
2,2023:07:20 12:46:48,601.4
4,2023:07:20 12:46:48,811.5
5,2023:07:20 12:46:48,771.0
7,2023:07:20 12:46:48,939.5
8,2023:07:20 12:46:48,741.2
1,2023:07:20 12:50:48,656.3
2,2023:07:20 12:50:48,590.3
8,2023:07:20 12:50:48,887.2
2,2023:07:20 12:54:48,883.5
4,2023:07:20 12:54:48,867.9
7,2023:07:20 12:54:48,930.3
5,2023:07:20 12:58:48,555.2
6,2023:07:20 12:58:48,883.0
8,2023:07:20 12:58:48,728.4
2,2023:07:20 13:02:48,631.4
3,2023:07:20 13:02:48,876.5
7,2023:07:20 13:02:48,712.9
3,2023:07:20 13:06:48,969.3
4,2023:07:20 13:06:48,782.1
8,2023:07:20 13:06:48,790.4
2,2023:07:20 13:10:48,748.7
3,2023:07:20 13:10:48,589.6
4,2023:07:20 13:10:48,550.6
7,2023:07:20 13:10:48,574.0
8,2023:07:20 13:10:48,845.6
3,2023:07:20 13:14:48,846.0
4,2023:07:20 13:14:48,793.4
5,2023:07:20 13:14:48,723.2
7,2023:07:20 13:14:48,606.1
8,2023:07:20 13:14:48,930.3
2,2023:07:20 13:18:48,911.4
5,2023:07:20 13:18:48,757.7
8,2023:07:20 13:18:48,861.4
1,2023:07:20 13:22:48,920.5
2,2023:07:20 13:22:48,567.8
4,2023:07:20 13:22:48,732.0
5,2023:07:20 13:22:48,611.0
6,2023:07:20 13:22:48,564.9
1,2023:07:20 13:26:48,814.2
2,2023:07:20 13:26:48,977.9
4,2023:07:20 13:26:48,730.9
5,2023:07:20 13:26:48,939.8
6,2023:07:20 13:26:48,601.3
3,2023:07:20 13:30:48,746.0
2,2023:07:20 13:34:48,845.2
3,2023:07:20 13:34:48,960.4
4,2023:07:20 13:34:48,751.9
7,2023:07:20 13:34:48,564.7
3,2023:07:20 13:38:48,816.7
4,2023:07:20 13:38:48,645.7
6,2023:07:20 13:38:48,997.9
8,2023:07:20 13:38:48,939.7
2,2023:07:20 13:42:48,688.4
4,2023:07:20 13:42:48,890.6
6,2023:07:20 13:42:48,808.5
7,2023:07:20 13:42:48,629.6
1,2023:07:20 13:46:48,590.1
3,2023:07:20 13:46:48,744.9
6,2023:07:20 13:46:48,758.8
7,2023:07:20 13:46:48,740.3
8,2023:07:20 13:46:48,868.0
2,2023:07:20 13:50:48,987.2
3,2023:07:20 13:50:48,716.6
4,2023:07:20 13:50:48,913.2
5,2023:07:20 13:50:48,566.6
8,2023:07:20 13:50:48,571.5
3,2023:07:20 13:54:48,691.4
5,2023:07:20 13:54:48,814.5
7,2023:07:20 13:54:48,965.8
4,2023:07:20 13:58:48,651.8
5,2023:07:20 13:58:48,961.6
8,2023:07:20 13:58:48,675.7
1,2023:07:20 14:02:48,943.9
4,2023:07:20 14:02:48,809.1
4,2023:07:20 14:06:48,967.4
5,2023:07:20 14:06:48,654.3
6,2023:07:20 14:06:48,757.5
8,2023:07:20 14:06:48,929.2
3,2023:07:20 14:10:48,587.8
4,2023:07:20 14:10:48,872.6
5,2023:07:20 14:10:48,815.1
8,2023:07:20 14:10:48,681.1
4,2023:07:20 14:14:48,882.3
4,2023:07:20 14:18:48,998.5
5,2023:07:20 14:18:48,692.0
7,2023:07:20 14:18:48,805.1
8,2023:07:20 14:18:48,558.1
4,2023:07:20 14:22:48,713.8
7,2023:07:20 14:22:48,715.7
8,2023:07:20 14:22:48,847.2
1,2023:07:20 14:26:48,730.1
2,2023:07:20 14:26:48,575.4
5,2023:07:20 14:26:48,657.4
7,2023:07:20 14:26:48,758.8
8,2023:07:20 14:26:48,608.6
2,2023:07:20 14:30:48,774.8
3,2023:07:20 14:30:48,769.3
4,2023:07:20 14:30:48,589.4
6,2023:07:20 14:30:48,561.5
3,2023:07:20 14:34:48,700.4
7,2023:07:20 14:34:48,885.5
8,2023:07:20 14:34:48,692.1
3,2023:07:20 14:38:48,617.6
7,2023:07:20 14:38:48,681.6
5,2023:07:20 14:42:48,685.5
6,2023:07:20 14:42:48,967.8
1,2023:07:20 14:46:48,848.9
2,2023:07:20 14:46:48,675.4
7,2023:07:20 14:46:48,611.6
1,2023:07:20 14:50:48,912.6
4,2023:07:20 14:50:48,644.6
5,2023:07:20 14:50:48,876.0
6,2023:07:20 14:50:48,610.1
2,2023:07:20 14:54:48,980.6
3,2023:07:20 14:54:48,794.5
6,2023:07:20 14:54:48,705.4
7,2023:07:20 14:54:48,759.8
8,2023:07:20 14:54:48,749.4
5,2023:07:20 14:58:48,782.6
1,2023:07:20 15:02:48,719.5
8,2023:07:20 15:02:48,957.0
2,2023:07:20 15:06:48,683.8
3,2023:07:20 15:10:48,917.1
4,2023:07:20 15:10:48,811.0
1,2023:07:20 15:14:48,794.4
2,2023:07:20 15:14:48,812.9
3,2023:07:20 15:14:48,981.9
5,2023:07:20 15:14:48,859.4
2,2023:07:20 15:18:48,909.6
8,2023:07:20 15:18:48,932.4
3,2023:07:20 15:22:48,809.0
4,2023:07:20 15:22:48,842.5
7,2023:07:20 15:22:48,854.6
8,2023:07:20 15:22:48,917.8
1,2023:07:20 15:26:48,551.9
2,2023:07:20 15:26:48,627.8
3,2023:07:20 15:26:48,585.9
6,2023:07:20 15:26:48,814.4
8,2023:07:20 15:26:48,977.5
4,2023:07:20 15:30:48,895.6
4,2023:07:20 15:34:48,816.6
6,2023:07:20 15:34:48,596.6
7,2023:07:20 15:34:48,585.0
1,2023:07:20 15:38:48,950.7
5,2023:07:20 15:38:48,758.7
7,2023:07:20 15:38:48,859.2
2,2023:07:20 15:42:48,687.0
3,2023:07:20 15:42:48,950.8
4,2023:07:20 15:42:48,813.6
8,2023:07:20 15:42:48,586.8
2,2023:07:20 15:46:48,740.6
6,2023:07:20 15:46:48,740.5
7,2023:07:20 15:46:48,802.9
2,2023:07:20 15:50:48,847.4
6,2023:07:20 15:50:48,888.7
7,2023:07:20 15:50:48,993.1
8,2023:07:20 15:50:48,879.7
2,2023:07:20 15:54:48,972.3
8,2023:07:20 15:54:48,576.1
