7A 0F 01 64 B8 A3 30 43 AC 4C CD 01 8A 6E 7F 
7A 0F 02 64 B8 A3 30 43 DA 0C CD 01 BA 4F 7F 
7A 0F 03 64 B8 A3 30 42 E5 99 9A 00 B5 F0 7F 
7A 0F 04 64 B8 A3 30 43 9B 66 66 01 68 EB 7F 
7A 0F 05 64 B8 A3 30 43 25 80 00 00 D7 3E 7F 
7A 0F 06 64 B8 A3 30 43 4E CC CD 01 00 D1 7F 
7A 0F 07 64 B8 A3 30 43 8D 8C CD 01 4C 85 7F 
7A 0F 01 64 B8 B1 40 43 92 4C CD 01 56 9E 7F 
7A 0F 02 64 B8 B1 40 43 5B 19 9A 01 0C 84 7F 
7A 0F 03 64 B8 B1 40 43 54 E6 66 01 06 F7 7F 
7A 0F 04 64 B8 B1 40 43 42 00 00 00 F3 68 7F 
7A 0F 05 64 B8 B1 40 43 A2 4C CD 01 76 6A 7F 
7A 0F 06 64 B8 B1 40 42 F7 CC CD 00 B9 53 7F 
7A 0F 07 64 B8 B1 40 43 5F CC CD 01 11 90 7F 
7A 0F 08 64 B8 B1 40 43 5E 99 9A 01 10 F7 7F 
7A 0F 01 64 B8 BF 50 43 AA 00 00 01 85 52 7F 
7A 0F 02 64 B8 BF 50 43 30 66 66 00 E1 A4 7F 
7A 0F 03 64 B8 BF 50 43 71 66 66 01 22 20 7F 
7A 0F 04 64 B8 BF 50 43 9A 99 9A 01 66 4B 7F 
7A 0F 05 64 B8 BF 50 43 75 E6 66 01 27 95 7F 
7A 0F 06 64 B8 BF 50 43 80 C0 00 01 33 09 7F 
7A 0F 07 64 B8 BF 50 43 8E 26 66 01 4D 14 7F 
7A 0F 08 64 B8 BF 50 43 B7 80 00 01 98 AB 7F 
7A 0F 01 64 B8 CD 60 43 70 E6 66 01 22 85 7F 
7A 0F 02 64 B8 CD 60 43 82 66 66 01 36 DE 7F 
7A 0F 03 64 B8 CD 60 43 6E 66 66 01 1F 08 7F 
7A 0F 04 64 B8 CD 60 43 68 99 9A 01 1A AB 7F 
7A 0F 05 64 B8 CD 60 43 5A 00 00 01 0B FA 7F 
7A 0F 06 64 B8 CD 60 43 45 CC CD 00 F7 8A 7F 
7A 0F 07 64 B8 CD 60 43 56 66 66 01 07 34 7F 
7A 0F 08 64 B8 CD 60 43 4F 66 66 01 00 41 7F 
7A 0F 01 64 B8 DB 70 43 93 F3 33 01 59 33 7F 
7A 0F 02 64 B8 DB 70 43 83 26 66 01 37 FE 7F 
7A 0F 03 64 B8 DB 70 43 8C 33 33 01 49 08 7F 
7A 0F 04 64 B8 DB 70 43 8D B3 33 01 4C 83 7F 
7A 0F 05 64 B8 DB 70 43 20 19 9A 00 D1 9E 7F 
7A 0F 06 64 B8 DB 70 43 32 00 00 00 E3 2C 7F 
7A 0F 07 64 B8 DB 70 43 3D 00 00 00 EE 15 7F 
7A 0F 08 64 B8 DB 70 43 76 99 9A 01 28 6D 7F 
7A 0F 01 64 B8 E9 80 43 90 E6 66 01 53 F8 7F 
7A 0F 02 64 B8 E9 80 43 81 26 66 01 33 E6 7F 
7A 0F 03 64 B8 E9 80 43 91 40 00 01 54 00 7F 
7A 0F 04 64 B8 E9 80 43 4D CC CD 00 FF 40 7F 
7A 0F 05 64 B8 E9 80 43 99 0C CD 01 63 4E 7F 
7A 0F 06 64 B8 E9 80 43 86 73 33 01 3E B8 7F 
7A 0F 07 64 B8 E9 80 43 6B 99 9A 01 1D 66 7F 
7A 0F 08 64 B8 E9 80 43 B3 59 9A 01 94 E6 7F 
